Ensembl gene ID,Description_Clarke.et.al._2
ENSOARG00000004423,LOW QUALITY PROTEIN: RNA-binding protein with serine-rich domain 1-like
ENSOARG00000004426,ribosome biogenesis protein NSA2 homolog
ENSOARG00000004428,"hypothetical protein, isoform CRA_d"
ENSOARG00000004430,ATP-sensitive inward rectifier potassium channel 12
ENSOARG00000004432,60S ribosomal protein L38
ENSOARG00000004435,
ENSOARG00000004438,ezrin
ENSOARG00000004445,60S ribosomal protein L17
ENSOARG00000004453,
ENSOARG00000004457,mast cell protease 2 precursor
ENSOARG00000004458,putative methyl-CpG-binding domain protein 3-like 3
ENSOARG00000004460,ribosomal protein S15a
ENSOARG00000004465,O-acetyl-ADP-ribose deacetylase MACROD1
ENSOARG00000004471,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
ENSOARG00000004473,LOW QUALITY PROTEIN: putative uncharacterized protein C10orf113 homolog
ENSOARG00000004476,peptidyl-prolyl cis-trans isomerase A
ENSOARG00000004479,LOW QUALITY PROTEIN: uncharacterized protein LOC105615805
ENSOARG00000004481,
ENSOARG00000004482,SET and MYND domain containing 3
ENSOARG00000004483,
ENSOARG00000004485,sperm-associated acrosin inhibitor-like
ENSOARG00000004486,"keratin, high sulfur matrix protein, IIIB3"
ENSOARG00000004492,enhancer of rudimentary homolog (Drosophila)
ENSOARG00000004496,"keratin, high sulfur matrix protein, IIIB3"
ENSOARG00000004503,
ENSOARG00000004505,TPA: AMP-activated protein kinase gamma2 subunit-like
ENSOARG00000004506,OTU deubiquitinase 1
ENSOARG00000004507,zinc finger protein 852
ENSOARG00000004514,ribosomal protein S14
ENSOARG00000004517,family with sequence similarity 107 member B
ENSOARG00000004518,programmed cell death protein 2-like
ENSOARG00000004520,mast cell protease 2
ENSOARG00000004529,KRAB domain-containing protein 4-like
ENSOARG00000004530,zinc finger CCHC-type and RNA binding motif containing 1
ENSOARG00000004532,DNL-type zinc finger
ENSOARG00000004538,zinc finger with KRAB and SCAN domains 7
ENSOARG00000004542,cornifin family protein
ENSOARG00000004543,Wilms tumor 1 interacting protein
ENSOARG00000004546,
ENSOARG00000004547,family with sequence similarity 96 member A
ENSOARG00000004549,transmembrane protein 132D
ENSOARG00000004551,major allergen I polypeptide chain 1-like
ENSOARG00000004553,adhesion G protein-coupled receptor E3-like
ENSOARG00000004556,60S ribosomal protein L15
ENSOARG00000004557,
ENSOARG00000004558,major allergen I polypeptide chain 2-like
ENSOARG00000004560,RPL7A
ENSOARG00000004566,secretoglobin family 2B member 2-like
ENSOARG00000004567,hypothetical protein PANDA_000224
ENSOARG00000004569,KRAB domain-containing protein 4-like
ENSOARG00000004570,acidic nuclear phosphoprotein 32 family member B
ENSOARG00000004572,"Protein ACN9-like protein, mitochondrial"
ENSOARG00000004574,major allergen I polypeptide chain 1-like
ENSOARG00000004579,
ENSOARG00000004581,"succinate dehydrogenase assembly factor 3, mitochondrial"
ENSOARG00000004586,major allergen I polypeptide chain 1-like
ENSOARG00000004592,major allergen I polypeptide chain 1-like
ENSOARG00000004593,beta-hexosaminidase subunit beta
ENSOARG00000004594,BRCA1-associated ATM activator 1
ENSOARG00000004596,
ENSOARG00000004599,
ENSOARG00000004600,
ENSOARG00000004603,collagen alpha-1(III) chain
ENSOARG00000004605,major allergen I polypeptide chain 1-like
ENSOARG00000004607,uncharacterized protein LOC106991725
ENSOARG00000004608,adhesion G protein-coupled receptor E3-like
ENSOARG00000004613,TPA: fel d I chain 1 precursor with leader A-like
ENSOARG00000004615,
ENSOARG00000004616,ribosomal protein S14
ENSOARG00000004617,hydroxycarboxylic acid receptor 2
ENSOARG00000004618,ADP-ribosylation factor-like protein 9
ENSOARG00000004620,LOW QUALITY PROTEIN: calreticulin-like
ENSOARG00000004622,zinc finger protein 181
ENSOARG00000004624,zinc finger X-linked protein ZXDB
ENSOARG00000004625,valyl-tRNA synthetase
ENSOARG00000004627,c-C motif chemokine 3-like
ENSOARG00000004633,Y-box-binding protein 3-like
ENSOARG00000004635,malignant T-cell-amplified sequence 1-like
ENSOARG00000004636,ubiquitin-conjugating enzyme E2 E2
ENSOARG00000004637,zinc finger protein 549-like
ENSOARG00000004640,
ENSOARG00000004641,"profilin 2, isoform CRA_c"
ENSOARG00000004643,zinc finger protein 385D
ENSOARG00000004648,ribosomal protein L6
ENSOARG00000004656,"28S ribosomal protein S26, mitochondrial"
ENSOARG00000004657,C-C motif chemokine 18-like
ENSOARG00000004666,LOW QUALITY PROTEIN: uncharacterized protein LOC101106326
ENSOARG00000004667,ribosomal protein L6
ENSOARG00000004671,Y-box-binding protein 3-like
ENSOARG00000004672,protein FAM69C
ENSOARG00000004678,
ENSOARG00000004679,cathepsin G-like
ENSOARG00000004682,
ENSOARG00000004688,cathepsin G-like
ENSOARG00000004693,
ENSOARG00000004696,FXYD domain-containing ion transport regulator 3 precursor
ENSOARG00000004700,beta-hexosaminidase subunit beta
ENSOARG00000004705,ubiquitin-like
ENSOARG00000004711,LOW QUALITY PROTEIN: tripartite motif-containing protein 26-like
ENSOARG00000004713,disintegrin and metalloproteinase domain-containing protein 1a-like
ENSOARG00000004715,MTSS1-like protein
ENSOARG00000004721,regakine-1-like
ENSOARG00000004722,pregnancy-associated glycoprotein 3
ENSOARG00000004724,sulfhydryl oxidase 2
ENSOARG00000004726,plasminogen
ENSOARG00000004731,catenin alpha 3
ENSOARG00000004735,coiled-coil domain containing 71-like
ENSOARG00000004738,adhesion G protein-coupled receptor E4-like
ENSOARG00000004739,WIPI3
ENSOARG00000004740,disintegrin and metalloproteinase domain-containing protein 1a-like
ENSOARG00000004742,cilia and flagella associated protein 36
ENSOARG00000004744,
ENSOARG00000004747,LOW QUALITY PROTEIN: GON-4-like protein
ENSOARG00000004748,olfactory receptor family 7 subfamily A member 17
ENSOARG00000004753,
ENSOARG00000004755,
ENSOARG00000004765,
ENSOARG00000004766,disintegrin and metalloproteinase domain-containing protein 1a-like
ENSOARG00000004769,oxysterol binding protein like 9
ENSOARG00000004770,
ENSOARG00000004774,C-C motif chemokine 15
ENSOARG00000004775,cyclin-dependent kinase 1-like
ENSOARG00000004778,ubiquitin conjugating enzyme E2 H
ENSOARG00000004781,
ENSOARG00000004782,nascent polypeptide-associated complex subunit alpha-like
ENSOARG00000004793,
ENSOARG00000004794,parkin coregulated gene protein-like
ENSOARG00000004795,
ENSOARG00000004799,PARK2 coregulated
ENSOARG00000004802,granzyme H splice variant 3
ENSOARG00000004805,mast cell protease 1A-like
ENSOARG00000004806,solute carrier family 35 member E4-like
ENSOARG00000004808,unnamed protein product
ENSOARG00000004809,neuroendocrine secretory protein 55
ENSOARG00000004810,
ENSOARG00000004815,mast cell protease 3-like
ENSOARG00000004817,obscurin
ENSOARG00000004821,
ENSOARG00000004828,cytochrome P450 2C19-like
ENSOARG00000004829,
ENSOARG00000004833,RUN and FYVE domain-containing protein 1
ENSOARG00000004842,
ENSOARG00000004853,male-enhanced antigen 1
ENSOARG00000004854,CMAH
ENSOARG00000004855,
ENSOARG00000004857,LOW QUALITY PROTEIN: synaptopodin 2-like protein
ENSOARG00000004858,high mobility group nucleosome binding domain 1
ENSOARG00000004859,
ENSOARG00000004866,
ENSOARG00000004867,
ENSOARG00000004868,
ENSOARG00000004872,
ENSOARG00000004875,EGF-like module-containing mucin-like hormone receptor-like 2-like
ENSOARG00000004876,
ENSOARG00000004877,ribosomal protein L37
ENSOARG00000004878,"cytochrome c oxidase subunit 7C, mitochondrial-like"
ENSOARG00000004880,uncharacterized protein LOC106503550
ENSOARG00000004882,uncharacterized protein LOC102180528
ENSOARG00000004884,
ENSOARG00000004888,lung adenoma susceptibility protein 2
ENSOARG00000004889,uncharacterized protein LOC106701465
ENSOARG00000004890,single-pass membrane and coiled-coil domain-containing protein 2
ENSOARG00000004891,LOW QUALITY PROTEIN: myotubularin-related protein 8
ENSOARG00000004894,synapse differentiation-inducing gene protein 1-like
ENSOARG00000004899,antileukoproteinase-like
ENSOARG00000004900,
ENSOARG00000004904,sorting nexin-10-like
ENSOARG00000004909,ribonuclease T2
ENSOARG00000004916,
ENSOARG00000004918,fibroblast growth factor 14
ENSOARG00000004919,cell wall protein DAN4-like
ENSOARG00000004923,ribosomal RNA small subunit methyltransferase NEP1
ENSOARG00000004928,dynactin-associated protein-like
ENSOARG00000004929,
ENSOARG00000004934,contactin-5
ENSOARG00000004939,transcription factor BTF3
ENSOARG00000004944,T-complex protein 10A homolog 2
ENSOARG00000004949,60S ribosomal protein L7-like
ENSOARG00000004960,LOW QUALITY PROTEIN: putative deoxyribonuclease TATDN2
ENSOARG00000004965,transmembrane protein 81
ENSOARG00000004970,CP
ENSOARG00000004974,uncharacterized protein LOC106503811
ENSOARG00000004976,60S ribosomal protein L10
ENSOARG00000004979,Cathepsin D
ENSOARG00000004982,LOW QUALITY PROTEIN: SH3 domain-binding glutamic acid-rich-like protein 3
ENSOARG00000004986,mitochondrial ribosomal protein L41
ENSOARG00000004994,LOW QUALITY PROTEIN: MLV-related proviral Env polyprotein-like
ENSOARG00000004995,ribosomal protein S15a
ENSOARG00000005002,"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase"
ENSOARG00000005013,splicing factor U2AF 26 kDa subunit
ENSOARG00000005019,LOW QUALITY PROTEIN: RE1-silencing transcription factor-like
ENSOARG00000005020,presenilin enhancer gamma-secretase subunit
ENSOARG00000005024,ribosomal protein L23a
ENSOARG00000005025,Serine protease 48
ENSOARG00000005037,
ENSOARG00000005039,
ENSOARG00000005044,
ENSOARG00000005045,protein-lysine N-methyltransferase EEF2KMT
ENSOARG00000005047,
ENSOARG00000005051,hypothetical protein EGK_06568
ENSOARG00000005052,
ENSOARG00000005058,hypothetical protein PANDA_005559
ENSOARG00000005063,cytochrome c-like
ENSOARG00000005066,LOW QUALITY PROTEIN: SH2 domain-containing protein 3A
ENSOARG00000005067,von Hippel-Lindau tumor suppressor
ENSOARG00000005074,
ENSOARG00000005081,LOW QUALITY PROTEIN: kinesin-like protein KIF19
ENSOARG00000005085,mucin-3A-like
ENSOARG00000005094,
ENSOARG00000005096,ENPP3
ENSOARG00000005104,biliverdin reductase A
ENSOARG00000005107,"mCG15678, isoform CRA_d"
ENSOARG00000005113,family with sequence similarity 72 member A
ENSOARG00000005114,MLV-related proviral Env polyprotein-like
ENSOARG00000005125,spermatid-specific linker histone H1-like protein
ENSOARG00000005132,
ENSOARG00000005134,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2"
ENSOARG00000005135,RNA binding protein fox-1 homolog 1
ENSOARG00000005142,TATA-box binding protein
ENSOARG00000005147,S-phase kinase-associated protein 1
ENSOARG00000005155,uncharacterized protein LOC786597
ENSOARG00000005157,bifunctional polynucleotide phosphatase/kinase
ENSOARG00000005159,plasminogen activator inhibitor 2-like
ENSOARG00000005160,uncharacterized protein LOC102394585
ENSOARG00000005165,
ENSOARG00000005171,pyrin domain-containing protein 3-like
ENSOARG00000005172,"COX17, cytochrome c oxidase copper chaperone"
ENSOARG00000005173,
ENSOARG00000005175,LOW QUALITY PROTEIN: beta-lactoglobulin-2-like
ENSOARG00000005187,odorant-binding protein 2b-like
ENSOARG00000005194,
ENSOARG00000005195,protein amnionless
ENSOARG00000005199,histone H2B subacrosomal variant
ENSOARG00000005205,cytochrome P450 2C26-like
ENSOARG00000005213,
ENSOARG00000005216,hypothetical protein M91_02473
ENSOARG00000005225,
ENSOARG00000005229,histone H3.3-like
ENSOARG00000005243,
ENSOARG00000005244,pregnancy-associated glycoprotein 1
ENSOARG00000005245,"hypothetical protein, conserved"
ENSOARG00000005249,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000005250,thyroid peroxidase-like
ENSOARG00000005252,cytochrome P450 2C9-like
ENSOARG00000005253,LOW QUALITY PROTEIN: epididymis-specific alpha-mannosidase
ENSOARG00000005255,mutS protein homolog 5
ENSOARG00000005256,immediate early response 5
ENSOARG00000005262,"cytochrome c oxidase subunit 7B, mitochondrial-like"
ENSOARG00000005272,allograft inflammatory factor 1 like
ENSOARG00000005276,
ENSOARG00000005295,DNA repair protein complementing XP-G cells
ENSOARG00000005298,"40S ribosomal protein S4, X isoform-like"
ENSOARG00000005299,60S ribosomal protein L34-like
ENSOARG00000005300,
ENSOARG00000005305,adhesion G protein-coupled receptor A3
ENSOARG00000005313,"transcription termination factor 3, mitochondrial"
ENSOARG00000005320,cyclin-dependent kinase 4
ENSOARG00000005324,zinc finger protein 529
ENSOARG00000005325,protein-lysine methyltransferase METTL21E
ENSOARG00000005326,
ENSOARG00000005329,zinc finger protein 566
ENSOARG00000005333,potassium voltage-gated channel subfamily B member 2-like
ENSOARG00000005340,ZFP14 zinc finger protein
ENSOARG00000005345,
ENSOARG00000005349,mitotic spindle assembly checkpoint protein MAD1-like
ENSOARG00000005350,zinc finger protein 568
ENSOARG00000005353,extracellular leucine rich repeat and fibronectin type III domain containing 1
ENSOARG00000005355,testis development-related protein-like
ENSOARG00000005357,unknown
ENSOARG00000005360,zinc finger X-linked protein ZXDB
ENSOARG00000005366,zinc finger protein 793
ENSOARG00000005367,
ENSOARG00000005372,probable low-specificity L-threonine aldolase 2
ENSOARG00000005377,LOW QUALITY PROTEIN: dual specificity protein phosphatase 8
ENSOARG00000005384,LOW QUALITY PROTEIN: complement C3
ENSOARG00000005386,ribonuclease H1
ENSOARG00000005393,NADH:ubiquinone oxidoreductase complex assembly factor 2
ENSOARG00000005394,protein phosphatase 1 regulatory inhibitor subunit 14B
ENSOARG00000005395,Proliferation-associated protein 2G4
ENSOARG00000005397,40S ribosomal protein S7
ENSOARG00000005398,
ENSOARG00000005401,hypothetical protein M91_00785
ENSOARG00000005404,Uncharacterised protein
ENSOARG00000005407,pregnancy-associated glycoprotein 17 precursor
ENSOARG00000005414,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000005415,proline rich transmembrane protein 3
ENSOARG00000005417,C-type lectin domain family 18 member A-like
ENSOARG00000005423,L-xylulose reductase-like
ENSOARG00000005425,survival motor neuron protein
ENSOARG00000005429,profilin-2-like
ENSOARG00000005430,zinc finger protein 566-like
ENSOARG00000005432,ankyrin repeat domain-containing protein 42
ENSOARG00000005435,NRADD
ENSOARG00000005436,family with sequence similarity 65 member B
ENSOARG00000005437,LOW QUALITY PROTEIN: zinc finger protein 790
ENSOARG00000005439,Y-box-binding protein 3-like
ENSOARG00000005440,
ENSOARG00000005441,ZFP30 zinc finger protein
ENSOARG00000005443,DNAJB1
ENSOARG00000005447,zinc finger protein 383-like
ENSOARG00000005449,monocyte to macrophage differentiation associated
ENSOARG00000005450,cytochrome P450 2C31-like
ENSOARG00000005451,
ENSOARG00000005452,monocyte to macrophage differentiation associated
ENSOARG00000005453,Csa-19
ENSOARG00000005454,zinc finger protein 607-like
ENSOARG00000005458,
ENSOARG00000005463,EF-hand calcium-binding domain-containing protein 4A-like
ENSOARG00000005468,spindlin family member 2B
ENSOARG00000005470,Y-box-binding protein 3
ENSOARG00000005477,binder of sperm 1 precursor
ENSOARG00000005481,hypothetical protein M91_17429
ENSOARG00000005482,
ENSOARG00000005483,patatin-like phospholipase domain-containing protein 2
ENSOARG00000005484,LOW QUALITY PROTEIN: transmembrane protein FAM155A
ENSOARG00000005485,spindlin family member 2B
ENSOARG00000005487,hypothetical protein M91_10845
ENSOARG00000005496,general transcription factor IIH subunit 2
ENSOARG00000005499,exocyst complex component 3-like protein 4
ENSOARG00000005500,
ENSOARG00000005508,SPIN2
ENSOARG00000005509,Y-box-binding protein 3-like
ENSOARG00000005510,lipid phosphate phosphohydrolase 3-like
ENSOARG00000005511,LOW QUALITY PROTEIN: WNT1-inducible-signaling pathway protein 1
ENSOARG00000005512,TATA-box binding protein associated factor 15
ENSOARG00000005520,
ENSOARG00000005523,tumor necrosis factor alpha-induced protein 2
ENSOARG00000005524,epididymis-specific alpha-mannosidase-like
ENSOARG00000005527,disks large-associated protein 2
ENSOARG00000005529,ubiquitin conjugating enzyme E2 F (putative)
ENSOARG00000005534,uncharacterized protein C20orf141 homolog
ENSOARG00000005535,heterogeneous nuclear ribonucleoproteins A2/B1-like
ENSOARG00000005542,60S acidic ribosomal protein P2
ENSOARG00000005550,complement C5-like
ENSOARG00000005556,immortalization up-regulated protein
ENSOARG00000005557,phospholipid scramblase 1
ENSOARG00000005559,
ENSOARG00000005571,LOW QUALITY PROTEIN: protein CLN8
ENSOARG00000005575,early lactation protein-like
ENSOARG00000005580,trophoblast Kunitz domain protein 1
ENSOARG00000005583,trophoblast Kunitz domain protein 1-like
ENSOARG00000005593,
ENSOARG00000005594,60S ribosomal protein L10
ENSOARG00000005595,
ENSOARG00000005597,solute carrier family 25 member 44
ENSOARG00000005598,phospholipid scramblase 1
ENSOARG00000005605,nose resistant to fluoxetine protein 6-like
ENSOARG00000005609,
ENSOARG00000005611,
ENSOARG00000005622,OVC10-2
ENSOARG00000005632,EF-hand calcium binding domain 14
ENSOARG00000005635,vegetative cell wall protein gp1-like
ENSOARG00000005644,protein CutA homolog
ENSOARG00000005649,
ENSOARG00000005651,diphosphoinositol polyphosphate phosphohydrolase 3-beta
ENSOARG00000005660,Phosphatidylcholine transfer protein
ENSOARG00000005662,LOW QUALITY PROTEIN: uncharacterized protein TKDP5
ENSOARG00000005667,diphosphoinositol polyphosphate phosphohydrolase 3-beta
ENSOARG00000005671,HBS1 like translational GTPase
ENSOARG00000005675,
ENSOARG00000005676,INO80 complex subunit C
ENSOARG00000005677,"putative UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase LOC100288842"
ENSOARG00000005678,prostaglandin E2 receptor EP1 subtype
ENSOARG00000005681,
ENSOARG00000005682,protein FAM156A/FAM156B-like
ENSOARG00000005684,annexin-2 receptor
ENSOARG00000005692,progestin and adipoQ receptor family member 6
ENSOARG00000005695,PFN1
ENSOARG00000005698,long-wave-sensitive opsin 1
ENSOARG00000005699,ubiquitin-fold modifier conjugating enzyme 1
ENSOARG00000005703,
ENSOARG00000005708,MICAL-like protein 2
ENSOARG00000005712,MICAL-like protein 2
ENSOARG00000005716,nicotinate-nucleotide pyrophosphorylase [carboxylating]
ENSOARG00000005717,ribosomal protein S6
ENSOARG00000005723,60S ribosomal protein L36-like
ENSOARG00000005729,ferritin light chain
ENSOARG00000005732,
ENSOARG00000005735,UBAP1-MVB12-associated (UMA)-domain containing protein 1
ENSOARG00000005737,
ENSOARG00000005738,
ENSOARG00000005747,cytochrome P450 2C31-like
ENSOARG00000005751,transcription initiation factor TFIID subunit 11-like
ENSOARG00000005755,casein kinase I isoform beta
ENSOARG00000005758,trophoblast Kunitz domain protein 1
ENSOARG00000005759,cyclin B1
ENSOARG00000005761,insulin-like growth factor-binding protein 7
ENSOARG00000005764,stathmin isoform a
ENSOARG00000005771,LOW QUALITY PROTEIN: cytochrome P450 2W1
ENSOARG00000005772,LOW QUALITY PROTEIN: zinc finger and BTB domain-containing protein 21
ENSOARG00000005775,transmembrane emp24 domain-containing protein 9-like
ENSOARG00000005781,iroquois-class homeodomain protein IRX-1
ENSOARG00000005786,protein phosphatase 1M
ENSOARG00000005788,
ENSOARG00000005798,NADH dehydrogenase subunit 4L
ENSOARG00000005800,creatine kinase B
ENSOARG00000005804,trophoblast Kunitz domain protein 1
ENSOARG00000005811,LOW QUALITY PROTEIN: protein FAM57A-like
ENSOARG00000005813,Retrovirus-related Pol polyprotein LINE-1
ENSOARG00000005814,PDZ and LIM domain 1
ENSOARG00000005816,trophoblast Kunitz domain protein 1 precursor
ENSOARG00000005818,
ENSOARG00000005822,galectin 7
ENSOARG00000005823,
ENSOARG00000005825,enoyl-CoA hydratase domain containing 2
ENSOARG00000005829,galectin 7
ENSOARG00000005831,zinc finger protein 451
ENSOARG00000005834,
ENSOARG00000005838,high mobility group protein 20A-like
ENSOARG00000005840,
ENSOARG00000005851,glutamate decarboxylase 1-like
ENSOARG00000005853,60S ribosomal protein L35a
ENSOARG00000005855,heat shock cognate 71 kDa protein
ENSOARG00000005860,teneurin-4-like
ENSOARG00000005864,heterogeneous nuclear ribonucleoprotein L
ENSOARG00000005867,ras homolog family member G
ENSOARG00000005873,LOW QUALITY PROTEIN: trophoblast Kunitz domain protein 1-like
ENSOARG00000005876,hypothetical protein PANDA_003954
ENSOARG00000005877,trophoblast Kunitz domain protein 1-like
ENSOARG00000005887,LOW QUALITY PROTEIN: zinc finger CCCH domain-containing protein 15-like
ENSOARG00000005889,
ENSOARG00000005893,programmed cell death 5
ENSOARG00000005895,
ENSOARG00000005897,insulin receptor substrate 2
ENSOARG00000005901,
ENSOARG00000005912,transmembrane p24 trafficking protein 9
ENSOARG00000005913,
ENSOARG00000005914,spleen trypsin inhibitor I-like
ENSOARG00000005915,enoyl-CoA hydratase domain containing 2
ENSOARG00000005918,"serine--tRNA ligase, mitochondrial"
ENSOARG00000005925,ribosomal protein L37
ENSOARG00000005932,F-box only protein 17
ENSOARG00000005934,ribosomal protein L23a
ENSOARG00000005935,probable cystatin-16
ENSOARG00000005938,CD63 antigen-like
ENSOARG00000005942,
ENSOARG00000005943,poly(A) binding protein cytoplasmic 1 like 2A
ENSOARG00000005945,HBV X-transactivated gene 12 protein
ENSOARG00000005946,
ENSOARG00000005947,
ENSOARG00000005948,proteasome subunit beta 6
ENSOARG00000005953,
ENSOARG00000005955,
ENSOARG00000005957,adenylate kinase isoenzyme 1
ENSOARG00000005962,F-box protein 27
ENSOARG00000005964,Bardet-Biedl syndrome 1
ENSOARG00000005966,TPA: F-box protein 27-like
ENSOARG00000005969,dystonin
ENSOARG00000005970,trophoblast Kunitz domain protein 1-like
ENSOARG00000005976,
ENSOARG00000005982,phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
ENSOARG00000005991,kinesin light chain 1
ENSOARG00000005999,LOW QUALITY PROTEIN: tubulin monoglycylase TTLL3-like
ENSOARG00000006001,interferon lambda-3
ENSOARG00000006010,interferon lambda-3
ENSOARG00000006014,spleen trypsin inhibitor I-like
ENSOARG00000006017,
ENSOARG00000006020,Small nuclear ribonucleoprotein G
ENSOARG00000006021,PRELI domain containing 1
ENSOARG00000006028,
ENSOARG00000006031,BC035947 protein
ENSOARG00000006032,
ENSOARG00000006035,ribosomal protein S15a
ENSOARG00000006036,NFU1 iron-sulfur cluster scaffold
ENSOARG00000006040,LOW QUALITY PROTEIN: trophinin
ENSOARG00000006050,alpha-1-acid glycoprotein 1
ENSOARG00000006052,ribosomal protein L4
ENSOARG00000006054,
ENSOARG00000006058,
ENSOARG00000006061,unnamed protein product
ENSOARG00000006069,LOW QUALITY PROTEIN: teneurin-4
ENSOARG00000006072,enverin
ENSOARG00000006074,transcription factor BTF3
ENSOARG00000006077,
ENSOARG00000006082,cystatin-13-like
ENSOARG00000006085,podocalyxin
ENSOARG00000006087,pancreatic trypsin inhibitor
ENSOARG00000006088,uncharacterized protein C9orf171 homolog
ENSOARG00000006089,chaperonin containing TCP1 subunit 2
ENSOARG00000006090,putative uncharacterized protein ZNRD1-AS1 homolog
ENSOARG00000006091,serum basic protease inhibitor-like
ENSOARG00000006101,
ENSOARG00000006103,MLV-related proviral Env polyprotein-like
ENSOARG00000006104,
ENSOARG00000006107,eppin
ENSOARG00000006110,
ENSOARG00000006111,
ENSOARG00000006118,40S ribosomal protein S16-like
ENSOARG00000006125,Zinc finger CCHC domain-containing protein 2
ENSOARG00000006127,nucleolin-like
ENSOARG00000006130,Zinc finger CCHC domain-containing protein 2
ENSOARG00000006141,LOW QUALITY PROTEIN: cystatin-9
ENSOARG00000006143,EPS8 like 2
ENSOARG00000006145,actin-related protein 2/3 complex subunit 4
ENSOARG00000006146,cystatin-9-like
ENSOARG00000006148,"Long palate, lung and nasal epithelium carcinoma-associated protein 4"
ENSOARG00000006149,eukaryotic translation elongation factor 1 alpha 1
ENSOARG00000006150,RH-like protein
ENSOARG00000006155,wiskott-Aldrich syndrome protein family member 1-like
ENSOARG00000006158,olfactory receptor family 52 subfamily E member 4
ENSOARG00000006162,toll-like receptor 9 precursor
ENSOARG00000006165,solute carrier family 25 member 30
ENSOARG00000006168,LOW QUALITY PROTEIN: PH domain leucine-rich repeat-containing protein phosphatase 1
ENSOARG00000006171,
ENSOARG00000006177,transmembrane protein 80
ENSOARG00000006179,WAP four-disulfide core domain protein 13-like
ENSOARG00000006182,olfactory receptor 52J3-like
ENSOARG00000006183,LOW QUALITY PROTEIN: microcephalin
ENSOARG00000006186,
ENSOARG00000006188,
ENSOARG00000006199,eukaryotic translation elongation factor 1 beta 2-like
ENSOARG00000006201,protocadherin-20
ENSOARG00000006207,endogenous retrovirus group K member 18 Pol protein-like
ENSOARG00000006208,LOW QUALITY PROTEIN: uncharacterized protein LOC106991277
ENSOARG00000006217,olfactory receptor 52J3
ENSOARG00000006221,Guanine nucleotide-binding protein-like 3-like protein
ENSOARG00000006223,cullin 7
ENSOARG00000006224,TPA: JY-1
ENSOARG00000006229,olfactory receptor 52J3
ENSOARG00000006231,
ENSOARG00000006232,zinc finger protein 48
ENSOARG00000006236,TPA: common salivary protein BSP30 form d
ENSOARG00000006243,pre-mRNA processing factor 18
ENSOARG00000006245,OR51G2
ENSOARG00000006247,dachshund family transcription factor 2
ENSOARG00000006255,"DNA polymerase epsilon 3, accessory subunit"
ENSOARG00000006262,apoptosis regulator Bcl-2
ENSOARG00000006267,calcitonin receptor-stimulating peptide 2
ENSOARG00000006268,putative homeobox protein unc-4 like protein
ENSOARG00000006269,pre-mRNA-splicing factor SYF2
ENSOARG00000006272,uncharacterized protein LOC101116248
ENSOARG00000006273,
ENSOARG00000006278,olfactory receptor family 51 subfamily A member 4
ENSOARG00000006279,PWWP domain-containing protein MUM1L1-like
ENSOARG00000006290,mitotic spindle assembly checkpoint protein MAD1
ENSOARG00000006293,transcription elongation factor B polypeptide 1
ENSOARG00000006294,LOW QUALITY PROTEIN: selenophosphate synthetase 2
ENSOARG00000006296,olfactory receptor family 51 subfamily A member 4
ENSOARG00000006299,LOW QUALITY PROTEIN: uncharacterized protein C4orf50
ENSOARG00000006305,PCTP-like protein
ENSOARG00000006310,WAP four-disulfide core domain 3
ENSOARG00000006317,
ENSOARG00000006323,calcitonin receptor-stimulating peptide 1 precursor
ENSOARG00000006325,D-tyrosyl-tRNA deacylase 2 (putative)
ENSOARG00000006326,zinc finger protein 596-like
ENSOARG00000006329,
ENSOARG00000006331,
ENSOARG00000006332,cell division cycle 26
ENSOARG00000006333,pterin-4-alpha-carbinolamine dehydratase
ENSOARG00000006334,dual specificity tyrosine phosphorylation regulated kinase 1B
ENSOARG00000006335,"short palate, lung and nasal epithelium carcinoma-associated protein 2B-like"
ENSOARG00000006336,pol polyprotein
ENSOARG00000006338,LOW QUALITY PROTEIN: MLV-related proviral Env polyprotein-like
ENSOARG00000006348,
ENSOARG00000006350,metastasis associated 1 family member 3
ENSOARG00000006355,putative protein FAM90A23P
ENSOARG00000006360,beta-defensin 103A-like
ENSOARG00000006364,RecName: Full=Beta-defensin 1; Short=BD-1; AltName: Full=sBD1; Flags: Precursor
ENSOARG00000006365,
ENSOARG00000006366,
ENSOARG00000006367,"NDUFA4, mitochondrial complex associated"
ENSOARG00000006374,T-cell receptor beta chain
ENSOARG00000006380,melanoma-associated antigen 8
ENSOARG00000006381,"short palate, lung and nasal epithelium carcinoma-associated protein 2A-like"
ENSOARG00000006387,uncharacterized protein LOC105606568
ENSOARG00000006388,methyl-CpG-binding domain protein 6
ENSOARG00000006392,olfactory receptor 51H1-like
ENSOARG00000006406,
ENSOARG00000006411,mediator complex subunit 27
ENSOARG00000006413,
ENSOARG00000006415,SWI5 dependent homologous recombination repair protein 1
ENSOARG00000006416,beta-defensin 103A-like
ENSOARG00000006419,
